Jahr, Ausfuhr: Wert in Tsd. EUR, Einfuhr: Wert in Tsd. EUR
1990,348116736,293215294
1991,340425021,329228193
1992,343180463,325972181
1993,321288985,289644388
1994,353084219,315444274
1995,383232153,339617500
1996,403376908,352995286
1997,454341981,394793520
1998,488370582,423451704
1999,510007657,444796643
2000,597439740,538311412
2001,638268360,542773664
2002,651319674,518531788
2003,664454622,534534079
2004,731543783,575448045
2005,786265926,628086808
2006,893041940,733993891
2007,965235559,769887464
2008,984139797,805842470
2009,803311845,664614892
2010,951959469,797096855
2011,1061225291,902522833
2012,1092627362,899404978
2013,1088025202,890392835
2014,1123745925,910144767
2015,1193555087,949244874
2016,1203833146,954917389
2017,1278876401,1030977365
2018,1317440164,1088720408
2019,1328151566,1104141069
2020,1206928464,1026501801
2021,1379346057,1204049732
2022,1576450428,1494135493
