Jahr,Verbraucherpreisindex,Inflationsrate
1990,59.69,2.60
1991,61.90,3.70
1992,65.00,5.00
1993,67.90,4.50
1994,69.70,2.70
1995,71.00,1.90
1996,72.00,1.40
1997,73.40,1.90
1998,74.00,0.80
1999,74.50,0.70
2000,75.50,1.30
2001,77.00,2.00
2002,78.10,1.40
2003,78.90,1.00
2004,80.20,1.60
2005,81.50,1.60
2006,82.80,1.60
2007,84.70,2.30
2008,86.90,2.60
2009,87.20,0.30
2010,88.10,1.00
2011,90.00,2.20
2012,91.70,1.90
2013,93.10,1.50
2014,94.00,1.00
2015,94.50,0.50
2016,95.00,0.50
2017,96.40,1.50
2018,98.10,1.80
2019,99.50,1.40
2020,100.00,0.50
2021,103.10,3.10
2022,110.20,6.90
2023,117.92,7.20
